listing_id,date
2814852,2015-09-27
2814852,2016-01-01
2594055,2014-11-16
2594055,2014-12-15
2594055,2015-01-02
2594055,2015-01-06
2594055,2015-01-14
2594055,2015-02-18
2594055,2015-03-02
2594055,2015-03-05
2594055,2015-03-10
2594055,2015-03-20
2594055,2015-03-23
2594055,2015-03-29
2594055,2015-04-02
2594055,2015-04-03
2594055,2015-04-06
2594055,2015-04-10
2594055,2015-04-12
2594055,2015-04-26
2594055,2015-05-06
2594055,2015-05-09
2594055,2015-05-10
2594055,2015-05-12
2594055,2015-05-17
2594055,2015-05-21
2594055,2015-05-28
2594055,2015-05-31
2594055,2015-06-05
2594055,2015-06-08
2594055,2015-06-19
2594055,2015-06-26
2594055,2015-07-01
2594055,2015-07-04
2594055,2015-07-06
2594055,2015-07-09
2594055,2015-07-10
2594055,2015-07-17
2594055,2015-07-25
2594055,2015-07-28
2594055,2015-08-04
2594055,2015-08-07
2594055,2015-08-10
2594055,2015-08-14
2594055,2015-08-21
2594055,2015-08-23
2594055,2015-08-30
2594055,2015-09-04
2594055,2015-09-09
2594055,2015-09-16
2594055,2015-09-21
2594055,2015-09-28
2594055,2015-10-05
2594055,2015-10-08
2594055,2015-10-11
2594055,2015-10-15
2594055,2015-10-18
2594055,2015-10-27
2594055,2015-10-29
2594055,2015-10-31
2594055,2015-11-08
2594055,2015-11-21
2594055,2015-11-25
2594055,2015-12-06
2594055,2015-12-21
2594055,2015-12-23
2594055,2015-12-25
2594055,2015-12-31
2594055,2016-01-02
2594055,2016-01-05
2594055,2016-02-01
2594055,2016-02-07
2594055,2016-02-10
2594055,2016-02-21
2594055,2016-02-29
2594055,2016-03-04
2594055,2016-03-13
2594055,2016-03-20
610052,2012-08-28
610052,2012-11-02
610052,2013-04-01
610052,2013-04-05
610052,2013-04-08
610052,2013-04-16
610052,2013-04-20
610052,2013-04-22
610052,2013-04-30
610052,2013-05-13
610052,2013-05-19
610052,2013-06-02
610052,2013-06-24
610052,2013-07-04
610052,2013-07-06
610052,2013-07-22
610052,2013-08-05
610052,2013-08-11
610052,2013-08-14
610052,2013-08-17
610052,2013-08-22
610052,2013-09-16
610052,2013-09-23
610052,2013-10-01
610052,2013-10-08
610052,2013-10-14
610052,2014-03-15
610052,2014-06-09
610052,2014-06-17
610052,2014-06-25
610052,2014-07-03
610052,2014-07-11
610052,2014-09-28
610052,2014-10-13
610052,2014-11-04
610052,2014-11-22
610052,2015-01-06
610052,2015-01-16
10156196,2016-01-03
10156196,2016-02-20
1308860,2013-08-20
1308860,2014-04-22
1308860,2014-05-05
1308860,2014-06-03
1308860,2014-08-06
1308860,2014-08-11
1308860,2014-08-26
1308860,2014-08-31
1308860,2014-09-14
1308860,2014-09-26
1308860,2014-10-08
1308860,2014-10-27
1308860,2015-02-09
1308860,2015-02-16
1308860,2015-03-01
1308860,2015-04-21
1308860,2015-04-29
1308860,2015-05-14
1308860,2015-05-19
1308860,2015-05-29
1308860,2015-06-11
1308860,2015-06-29
1308860,2015-07-03
1308860,2015-07-11
1308860,2015-07-14
1308860,2015-07-20
1308860,2015-09-28
1826165,2015-01-12
1826165,2015-09-13
5216220,2015-03-04
5216220,2015-06-07
5216220,2015-09-01
5216220,2015-09-10
5216220,2015-09-18
5216220,2015-09-23
5216220,2015-09-27
5216220,2015-10-14
5216220,2015-11-06
5216220,2016-01-09
5216220,2016-01-31
5216220,2016-02-19
5216220,2016-03-27
633372,2012-09-22
633372,2012-09-27
633372,2012-10-02
633372,2012-10-08
633372,2012-10-17
633372,2013-10-02
633372,2013-10-21
